b3b92ee9-65f9-481a-9c54-81a50fd5c901,Multiply and Divide Fractions,"['<span xmlns=""http://www.w3.org/1999/xhtml"" data-type=""title""/>']",/contents/b3b92ee9-65f9-481a-9c54-81a50fd5c901@23,23,b3b92ee9-65f9-481a-9c54-81a50fd5c901@23,Module,Prealgebra,https://archive.cnx.org,https://archive.cnx.org/contents/b3b92ee9-65f9-481a-9c54-81a50fd5c901@23,1,['span: 1'],['span'],['span: 1'],https://staging.cnx.org/contents/caa57dab-41c7-455e-bd6f-f443cda5519c:b3b92ee9-65f9-481a-9c54-81a50fd5c901,https://cnx.org/contents/caa57dab-41c7-455e-bd6f-f443cda5519c:b3b92ee9-65f9-481a-9c54-81a50fd5c901
c6ee405c-d1b5-4aec-bb6f-ba8e5103bf62,Multiply and Divide Mixed Numbers and Complex Fractions,"['<em xmlns=""http://www.w3.org/1999/xhtml"" data-effect=""italics""/>']",/contents/c6ee405c-d1b5-4aec-bb6f-ba8e5103bf62@19,19,c6ee405c-d1b5-4aec-bb6f-ba8e5103bf62@19,Module,Prealgebra,https://archive.cnx.org,https://archive.cnx.org/contents/c6ee405c-d1b5-4aec-bb6f-ba8e5103bf62@19,1,['em: 1'],['em'],['em: 1'],https://staging.cnx.org/contents/caa57dab-41c7-455e-bd6f-f443cda5519c:c6ee405c-d1b5-4aec-bb6f-ba8e5103bf62,https://cnx.org/contents/caa57dab-41c7-455e-bd6f-f443cda5519c:c6ee405c-d1b5-4aec-bb6f-ba8e5103bf62
a6502754-731c-4334-bb9a-d3d27785e5e3,Solve Simple Interest Applications,"['<strong xmlns=""http://www.w3.org/1999/xhtml"" data-effect=""bold""/>']",/contents/a6502754-731c-4334-bb9a-d3d27785e5e3@25,25,a6502754-731c-4334-bb9a-d3d27785e5e3@25,Module,Prealgebra,https://archive.cnx.org,https://archive.cnx.org/contents/a6502754-731c-4334-bb9a-d3d27785e5e3@25,1,['strong: 1'],['strong'],['strong: 1'],https://staging.cnx.org/contents/caa57dab-41c7-455e-bd6f-f443cda5519c:a6502754-731c-4334-bb9a-d3d27785e5e3,https://cnx.org/contents/caa57dab-41c7-455e-bd6f-f443cda5519c:a6502754-731c-4334-bb9a-d3d27785e5e3
35885848-bff3-4eaf-8d84-a24a5b600ada,Use Multiplication Properties of Exponents,"['<sup xmlns=""http://www.w3.org/1999/xhtml""/>', '<sup xmlns=""http://www.w3.org/1999/xhtml""/>']",/contents/35885848-bff3-4eaf-8d84-a24a5b600ada@21,21,35885848-bff3-4eaf-8d84-a24a5b600ada@21,Module,Prealgebra,https://archive.cnx.org,https://archive.cnx.org/contents/35885848-bff3-4eaf-8d84-a24a5b600ada@21,2,['sup: 2'],['sup'],['sup: 2'],https://staging.cnx.org/contents/caa57dab-41c7-455e-bd6f-f443cda5519c:35885848-bff3-4eaf-8d84-a24a5b600ada,https://cnx.org/contents/caa57dab-41c7-455e-bd6f-f443cda5519c:35885848-bff3-4eaf-8d84-a24a5b600ada
ba42b46c-de39-4f91-a515-06bfd7a16c6b,Understand Slope of a Line,"['<em xmlns=""http://www.w3.org/1999/xhtml"" data-effect=""italics""/>']",/contents/ba42b46c-de39-4f91-a515-06bfd7a16c6b@19,19,ba42b46c-de39-4f91-a515-06bfd7a16c6b@19,Module,Elementary Algebra,https://archive.cnx.org,https://archive.cnx.org/contents/ba42b46c-de39-4f91-a515-06bfd7a16c6b@19,1,['em: 1'],['em'],['em: 1'],https://staging.cnx.org/contents/0889907c-f0ef-496a-bcb8-2a5bb121717f:ba42b46c-de39-4f91-a515-06bfd7a16c6b,https://cnx.org/contents/0889907c-f0ef-496a-bcb8-2a5bb121717f:ba42b46c-de39-4f91-a515-06bfd7a16c6b
c9aabcfa-7dac-4cdb-bca0-f8738ce61f22,Binomial Theorem,"['<em xmlns=""http://www.w3.org/1999/xhtml"" data-effect=""italics""/>']",/contents/c9aabcfa-7dac-4cdb-bca0-f8738ce61f22@17,17,c9aabcfa-7dac-4cdb-bca0-f8738ce61f22@17,Module,Intermediate Algebra,https://archive.cnx.org,https://archive.cnx.org/contents/c9aabcfa-7dac-4cdb-bca0-f8738ce61f22@17,1,['em: 1'],['em'],['em: 1'],https://staging.cnx.org/contents/02776133-d49d-49cb-bfaa-67c7f61b25a1:c9aabcfa-7dac-4cdb-bca0-f8738ce61f22,https://cnx.org/contents/02776133-d49d-49cb-bfaa-67c7f61b25a1:c9aabcfa-7dac-4cdb-bca0-f8738ce61f22
6cfd2376-f945-4ebb-bdb6-92ac7398c9ad,Solve Absolute Value Inequalities,"['<em xmlns=""http://www.w3.org/1999/xhtml"" data-effect=""italics""/>']",/contents/6cfd2376-f945-4ebb-bdb6-92ac7398c9ad@17,17,6cfd2376-f945-4ebb-bdb6-92ac7398c9ad@17,Module,Intermediate Algebra,https://archive.cnx.org,https://archive.cnx.org/contents/6cfd2376-f945-4ebb-bdb6-92ac7398c9ad@17,1,['em: 1'],['em'],['em: 1'],https://staging.cnx.org/contents/02776133-d49d-49cb-bfaa-67c7f61b25a1:6cfd2376-f945-4ebb-bdb6-92ac7398c9ad,https://cnx.org/contents/02776133-d49d-49cb-bfaa-67c7f61b25a1:6cfd2376-f945-4ebb-bdb6-92ac7398c9ad
7e49f09d-5033-4393-a74f-556d343328c7,Geometric Sequences and Series,"['<em xmlns=""http://www.w3.org/1999/xhtml"" data-effect=""italics""/>']",/contents/7e49f09d-5033-4393-a74f-556d343328c7@14,14,7e49f09d-5033-4393-a74f-556d343328c7@14,Module,Intermediate Algebra,https://archive.cnx.org,https://archive.cnx.org/contents/7e49f09d-5033-4393-a74f-556d343328c7@14,1,['em: 1'],['em'],['em: 1'],https://staging.cnx.org/contents/02776133-d49d-49cb-bfaa-67c7f61b25a1:7e49f09d-5033-4393-a74f-556d343328c7,https://cnx.org/contents/02776133-d49d-49cb-bfaa-67c7f61b25a1:7e49f09d-5033-4393-a74f-556d343328c7
f045a37e-bf7c-4818-95a1-e29172da48b4,Solve Quadratic Equations Using the Quadratic Formula,"['<em xmlns=""http://www.w3.org/1999/xhtml"" data-effect=""italics""/>']",/contents/f045a37e-bf7c-4818-95a1-e29172da48b4@15,15,f045a37e-bf7c-4818-95a1-e29172da48b4@15,Module,Intermediate Algebra,https://archive.cnx.org,https://archive.cnx.org/contents/f045a37e-bf7c-4818-95a1-e29172da48b4@15,1,['em: 1'],['em'],['em: 1'],https://staging.cnx.org/contents/02776133-d49d-49cb-bfaa-67c7f61b25a1:f045a37e-bf7c-4818-95a1-e29172da48b4,https://cnx.org/contents/02776133-d49d-49cb-bfaa-67c7f61b25a1:f045a37e-bf7c-4818-95a1-e29172da48b4
b9659e42-3afa-4449-81d9-a017c35de140,Solve Quadratic Equations Using the Square Root Property,"['<em xmlns=""http://www.w3.org/1999/xhtml"" data-effect=""italics""/>']",/contents/b9659e42-3afa-4449-81d9-a017c35de140@15,15,b9659e42-3afa-4449-81d9-a017c35de140@15,Module,Intermediate Algebra,https://archive.cnx.org,https://archive.cnx.org/contents/b9659e42-3afa-4449-81d9-a017c35de140@15,1,['em: 1'],['em'],['em: 1'],https://staging.cnx.org/contents/02776133-d49d-49cb-bfaa-67c7f61b25a1:b9659e42-3afa-4449-81d9-a017c35de140,https://cnx.org/contents/02776133-d49d-49cb-bfaa-67c7f61b25a1:b9659e42-3afa-4449-81d9-a017c35de140
